"aphiaID";"kingdom";"phylum";"class";"order";"family";"genus"
598651;"Animalia";"Mollusca";"Gastropoda";"Littorinimorpha";"Vermetidae";"Thylacodes"
143833;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Ceramiaceae";"Centroceras"
135404;"Animalia";"Cnidaria";"Hydrozoa";"Siphonophorae";"Abylidae";"Bassia"
134145;"Animalia";"Porifera";"Demospongiae";"Clionaida";"Clionaidae";"Cliona"
143906;"Plantae";"Rhodophyta";"Florideophyceae";"Ceramiales";"Rhodomelaceae";"Chondria"
420045;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Fasciolariidae";"Leucozonia"
213904;"Plantae";"Rhodophyta";"Florideophyceae";"Hapalidiales";"Mesophyllumaceae";"Mesophyllum"
369995;"Plantae";"Rhodophyta";"Florideophyceae";"Gelidiales";"Gelidiellaceae";"Parviphycus"
122400;"Animalia";"Nemertea";"Hoplonemertea";"Monostilifera";"Zygonemertidae";"Zygonemertes"
277249;"Animalia";"Chordata";"Teleostei";"Blenniiformes";"Blenniidae";"Entomacrodus"
421824;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Callichiridae";"Neocallichirus"
131793;"Animalia";"Porifera";"Demospongiae";"Axinellida";"Stelligeridae";"Higginsia"
126302;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Gymnothorax"
277951;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Uropterygius"
137803;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Columbellidae";"Columbella"
126327;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Synaphobranchidae";"Simenchelys"
243695;"Animalia";"Echinodermata";"Ophiuroidea";"Amphilepidida";"Ophiolepididae";"Ophiolepis"
1732754;"Plantae";"Rhodophyta";"Florideophyceae";"Hapalidiales";"Hapalidiaceae";"Roseolithon"
278676;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Echidna"
126586;"Animalia";"Chordata";"Teleostei";"Myctophiformes";"Myctophidae";"Ceratoscopelus"
1732755;"Plantae";"Rhodophyta";"Florideophyceae";"Hapalidiales";"Hapalidiaceae";"Roseolithon"
22496;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Nereididae";NA
255129;"Animalia";"Porifera";"Demospongiae";"Tetractinellida";"Tetillidae";"Acanthotetilla"
421918;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Calappidae";"Calappa"
446879;"Animalia";"Mollusca";"Gastropoda";"Littorinimorpha";"Littorinidae";"Echinolittorina"
345570;"Animalia";"Porifera";"Demospongiae";"Haplosclerida";"Chalinidae";"Haliclona"
158583;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Gymnothorax"
422143;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Xanthidae";"Platypodiella"
241196;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Grapsidae";"Geograpsus"
851587;"Animalia";"Bryozoa";"Gymnolaemata";"Ctenostomatida";"Vesiculariidae";"Amathia"
158584;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Muraenidae";"Gymnothorax"
106652;"Animalia";"Arthropoda";"Copepoda";"Cyclopoida";"Oithonidae";"Oithona"
158569;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Congridae";"Paraconger"
118100;"Animalia";"Arthropoda";"Hexapoda";"Diptera";"Chironomidae";NA
125627;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Congridae";"Paraconger"
129469;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Sigalionidae";"Pisione"
743513;"Animalia";"Annelida";"Polychaeta";"Phyllodocida";"Hesionidae";"Neogyptis"
270636;"Animalia";"Chordata";"Teleostei";"Gobiiformes";"Gobiidae";"Psilotris"
239312;"Plantae";"Rhodophyta";"Florideophyceae";"Corallinales";"Lithophyllaceae";"Lithophyllum"
1537060;"Plantae";"Rhodophyta";"Bangiophyceae";"Bangiales";"Bangiaceae";"Neoporphyra"
117851;"Animalia";"Cnidaria";"Hydrozoa";"Trachymedusae";"Rhopalonematidae";"Aglaura"
287111;"Animalia";"Cnidaria";"Hexacorallia";"Scleractinia";"Pocilloporidae";"Madracis"
560406;"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Nassariidae";"Phrontis"
282084;"Animalia";"Chordata";"Teleostei";"Perciformes";"Serranidae";"Paranthias"
277569;"Animalia";"Chordata";"Teleostei";"Centrarchiformes";"Cirrhitidae";"Amblycirrhitus"
127164;"Animalia";"Chordata";"Teleostei";"Saccopharyngiformes";"Cyematidae";"Cyema"
279506;"Animalia";"Chordata";"Teleostei";"Gobiesociformes";"Gobiesocidae";"Acyrtus"
422122;"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Xanthidae";"Actaea"
766122;"Animalia";"Nemertea";"Palaeonemertea";"Archinemertea";"Cephalotrichidae";NA
104469;"Animalia";"Arthropoda";"Copepoda";"Calanoida";"Calanidae";"Nannocalanus"
117545;"Animalia";"Cnidaria";"Hydrozoa";"Anthoathecata";"Eudendriidae";"Eudendrium"
125427;"Animalia";"Chordata";"Teleostei";"Anguilliformes";"Congridae";NA
137017;"Animalia";"Chordata";"Mammalia";"Cetartiodactyla";"Delphinidae";"Globicephala"
